rwindx,it_id,pdbid,protein,Ligand,Input_MOL2
0,IT009,3aox,ALK,EMH,IT009_3aox_ALK_moe_addH_minH_gasteiger_mod.mol2
1,IT010,5tmn,thermolysin,QPJ,IT010_5tmn_thrmolysin_moe_new.mol2
2,IT011,1oyt,thrombin,FSN,IT011_1oytH_thrombin_moe_addH_minH_gasteiger_mod.mol2
3,IT012,3w0a,VDR,ZYX,IT012_3w0a_VDR_moe_addH_minH_gasteiger_mod.mol2
4,IT013,2boh,FXa,IIA,IT013_2bohB_FXa_moe_addH_minH_gasteiger_mod.mol2
5,IT014,2xu1,CatL,ZYX,IT014_2xu1A_CatL_moe_addH_minH_gasteiger_mod.mol2
6,IT015,3b24,HSP90,ZYX,IT015_3b24A_HSP90_moe_addH_minH_gasteiger_mod.mol2
7,IT016,3b25,HSP90,ZYX,IT016_3b25_HSP90_moe_addH_minH_gasteiger_mod.mol2
8,IT017,3b26,HSP90,ZYX,IT017_3b26A_HSP90_moe_addH_minH_gasteiger_mod.mol2
9,IT018,3b27,HSP90,ZYX,IT018_3b27_HSP90_moe_addH_minH_gasteiger_mod.mol2
10,IT019,3b28,HSP90,ZYX,IT019_3b28A_HSP90_moe_addH_minH_gasteiger_mod.mol2
11,IT020,3vha,HSP90,VHA,IT020_3vha_HSP90_moe_addH_minH_gasteiger_mod.mol2
12,IT021,3vhc,HSP90,VHC,IT021_3vhc_HSP90_moe_addH_minH_gasteiger_mod.mol2
13,IT022,3vhd,HSP90,VHE,IT022_3vhdA_HSP90_moe_addH_minH_gasteiger_mod.mol2
14,IT023,3wha,HSP90,WHA,IT023_3whaA_HSP90_moe_addH_minH_gasteiger_mod.mol2
15,IT024,1x70,DPP4,ZYX,IT024_1x70A_DPP4_moe_addH_minH_gasteiger_mod.mol2
16,IT025,2oqv,DPP4,ZYX,IT025_2oqvA_DPP4_moe_addH_minH_gasteiger_mod.mol2
17,IT026,2c3k,CHK1,ABO,IT026_2c3k_CHK1_moe_addH_minH_gasteiger_mod.mol2
18,IT027,1rej,PKACA,ZYX,IT027_1rej_PKACA_moe_addH_minH_gasteiger_mod.mol2
19,IT029,5g4m,p53,ZYX,IT029_5g4mA_p53_moe_addH_minH_gasteiger_mod.mol2
20,IT030,5g4n,p53,ZYX,IT030_5g4nA_p53_moe_addH_minH_gasteiger_mod.mol2
21,IT031,5g4o,p53,ZYX,IT031_5g4oA_p53_moe_addH_minH_gasteiger_mod.mol2
22,IT032,3cwj,NS5A,ZYX,IT032_3cwjA_NS5B_moe_addH_minH_gasteiger_mod.mol2
23,IT033,3g75,gyrB,ZYX,IT033_3g75A_gyrB_moe_addH_minH_gasteiger_mod.mol2
24,IT034,3qs1,PMI,ZYX,IT034_3qs1A_PMI_moe_addH_minH_gasteiger_mod.mol2
25,IT036,4msg,TNKS,ZYX,IT036_4msgA_TNKS_moe_addH_minH_gasteiger_mod.mol2
26,IT037,3oy1,JNK3,ZYX,IT037_3oy1_JNK3_moe_addH_minH_gasteiger_mod.mol2
27,IT038,3tv7,ROCK1,ZYX,IT038_3tv7A_ROCK1_moe_addH_minH_gasteiger_mod.mol2
28,IT040,2xyw,PPARd,ZYX,IT040_2xyw_PPARd_moe_addH_minH_gasteiger_mod.mol2
29,IT041,3orn,MEK1,ZYX,IT041_3orn_MEK1_moe_addH_minH_gasteiger_mod.mol2
30,IT042,7fb7,UHFR1,ZYX,IT042_7fb7A_UHFR1_moe_addH_minH_gasteiger_mod.mol2
